siyam_ref,type,make,application,year,core_size,number_of_rows,inlet_pipe,outlet_pipe,eoc,toc,oems,replaces,category
8299-CM,Plastic/Aluminum Radiator,Jeep,Wrangler,2007-2018,"21 7/8"" x 20"" x 1""",1,"1 1/2""","1 1/2""",No,No,55056633AA / 55056633AB / 68143886AA,DPI 2957,automotive_pa
12455,Plastic/Aluminum Radiator,Jeep,Commander,2006-2010,"23 1/8"" x 20"" x 1""",1,"1 1/2""","1 13/16""",No,No,55116849AC / 55116849AB,DPI 2839,automotive_pa
223-LC,Plastic/Aluminum Radiator,Acura,Acura EL / Honda Civic,1992-2000,"13 13/16"" x 13 3/4"" x 7/8""",1,"1 1/8""","1 1/8""",Yes,No,19010P01004,DPI 1290,automotive_pa
12492,Plastic/Aluminum Radiator,Acura,Acura MDX / Honda Pilot,2001-2004,"19 11/16"" x 30 1/4"" x 5/8""",1,"1 1/4""","1 1/4""",Yes,No,19010-PGK-A51,DPI 2417,automotive_pa
1209-LC,Plastic/Aluminum Radiator,Honda,Honda Accord,1998-2002,"14 13/16"" x 26 11/16"" x 5/8""",1,"1 1/4""","1 1/4""",Yes,No,19010PAAA01 / 19010PAAA02,DPI 2148,automotive_pa
12241,Plastic/Aluminum Radiator,Honda,"Honda Passport / Isuzu Rodeo, Amigo",1998-2004,"16 7/8"" x 23 15/16"" x 1""",1,"1 1/2""","1 1/2""",Yes,No,8973547650 / 8524788110 / 8972095530,DPI 2195,automotive_pa
12257,Plastic/Aluminum Radiator,Honda,"Honda CR-V, Element",2002-2006,"15 9/16"" x 28 11/16"" x 5/8""",1,"1 5/16""","1 5/16""",Yes,No,19010-PNB-901 / 19010-PZD-A51,DPI 2443,automotive_pa
12469,Plastic/Aluminum Radiator,Honda,"Honda Pilot EX, LX",2006-2008,"19 11/16"" x 30 1/4"" x 1""",1,"1 1/4""","1 5/16""",Yes,No,19010PVJA51 / 19010PVJA52,DPI 2956,automotive_pa
4273-LC,Plastic/Aluminum Radiator,Nissan,Nissan Altima,2007-2022,"26 3/8"" x 16 1/16"" x 5/8""",1,"1 3/8""","1 3/8""",Yes,No,21410JA00A / 21410ZN50A / 21460JA00A / 21460ZN50B / 21460ZN50A,DPI 2988,automotive_pa
4274-CA,Plastic/Aluminum Radiator,Nissan,Nissan Frontier,2005-2020,"23 5/8"" x 27 1/16"" x 1 1/4""",1,"1 3/8""","1 3/8""",Yes,No,21460EB80A / 21460EB81B,DPI 2807,automotive_pa
272-LC,Plastic/Aluminum Radiator,Toyota,"Toyota Camry, Solara ",1997-2001,"15 3/4"" x 29 1/16"" x 5/8""",1,"1 1/4""","1 1/4""",Yes,No,16400-7A300 / 16400-03150,DPI 1909,automotive_pa
1237-LA,Plastic/Aluminum Radiator,Toyota,"Toyota 4Runner, Pickup",1984 -1995,"15 3/4"" x 19 5/8"" x 1""",1,"1 3/8""","1 3/8""",Yes,No,16400-71081,DPI 945,automotive_pa
2225,Plastic/Aluminum Radiator,Toyota,Toyota Camry,2007-2011,"15 3/4"" x 28 11/16"" x 3/4""",1,"1 5/16""","1 5/16""",Yes,No,16400-0H220 / 16400-0H240,DPI 2917,automotive_pa
11269-CA,Plastic/Aluminum Radiator,Toyota,"Toyota Sequoia, Tundra",2001-2007,"23 5/8"" x 27 1/12"" x 1 1/4""",1,"1 1/2""","1 1/2""",Yes,No,164000F040 / 1640172090 / 164100F040,DPI 2376,automotive_pa
12278-CA,Plastic/Aluminum Radiator,Toyota,Toyota Tundra,2000-2006,"22 5/8"" x 27 1/2"" x 1 1/4""",1,"1 9/16""","1 9/16""",Yes,No,164000F050 / 164000F020,DPI 2321,automotive_pa
287-LC,Plastic/Aluminum Radiator,Hyundai,"Hyundai Elantra, Tiburon",2001-2008,"14 3/4"" x 25 7/8"" x 5/8""",1,"1 5/16""","1 5/16""",Yes,No,2531020110 / 253102C116 / 253102C115,DPI 2387,automotive_pa
12258,Plastic/Aluminum Radiator,Hyundai,Hyundai Santa Fe,2001-2006,"15 3/4"" x 28 1/4"" x 5/8""",1,"1 3/8""","1 3/8""",Yes,No,25310-26000,DPI 2389,automotive_pa
